name,uri,genres,artist,mood
Jackpot (The Him Remix),6NSjdFYF2zxgQ7UvsKoRxy,['canadian electropop'],Jocelyn Alice,energetic
White Tiger - Single Version,64I0PKLFEKlcvc7fEVUGq0,"['chill r&b', 'pop', 'uk pop']",Izzy Bizu,energetic
Energy,79XrkTOfV1AqySNjVlygpW,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Drake,energetic
Our Love,4MyyNsp3aBr0SKSKENNpDT,"['dance pop', 'pop rap']",Nico & Vinz,energetic
Running Out,2H8LPaY3NSjmOFMH2Rygnz,"['boy band', 'dance pop', 'pop', 'post-teen pop']",Matoma,energetic
Sunshine,2lEBInNYXOrnZkXItbmAIN,['chamber pop'],Dorian,energetic
Jubel,2mpsKeLCbdXkwEpZRNi4XD,"['deep house', 'deep tropical house', 'edm', 'pop dance', 'tropical house']",Klingande,energetic
Smoke Filled Room,4f13AaRyukUTWleyKXaRDh,"['bow pop', 'pop violin']",Mako,energetic
Too Much to Handle,6ZqbCojBV78MFkYnyk7ZIq,"['alternative dance', 'edm', 'indie poptimism', 'indietronica', 'nu disco', 'pop', 'tropical house']",Great Good Fine Ok,energetic
"Revolution (feat. Faustix, Imanos & Kai)",5zG4pMcM2QILFOFL3Y3ZMf,"['bmore', 'dance pop', 'edm', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']",Diplo,energetic
Walk on by (Sound Remedy Remix),11BPfwVbB7vok7KfjBeW4k,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']",Noosa,energetic
Be Okay,7AonnmPTczSzmqPs32Po69,"['disco', 'funk', 'post-disco', 'quiet storm']",Oh Honey,energetic
Golden,5uQSMMQKcPyRt8r7YM8uwt,"['hopebeat', 'indie poptimism', 'metropopolis', 'shimmer pop']",Parade of Lights,energetic
New Americana,70FfnLougoxye4i9Z0EhB3,"['ohio hip hop', 'pop rap']",Halsey,energetic
All of You,37oGPPT1GLkcjByBCY05ag,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'pop edm', 'post-teen pop']",Betty Who,energetic
Blue Hawaii,1yujmT64VJM0k7pceaLIC8,['australian hip hop'],ASTR,energetic
Sugar (feat. Francesco Yates),3NFuE3uDOr6QUw9UZ9HzKo,"['dutch hip hop', 'tropical house']",Robin Schulz,energetic
Take It or Leave It,7LeIYh4gDj5l8mJ7kNsHIv,"['alternative dance', 'edm', 'indie poptimism', 'indietronica', 'nu disco', 'pop', 'tropical house']",Great Good Fine Ok,energetic
Waves - Robin Schulz Radio Edit,4OJKPoqK5oMdPmAuT4V8Lg,"['dutch hip hop', 'tropical house']",Mr. Probz,energetic
Dreaming,3c7vquF4xacCmFrxztLUVH,"['electropop', 'hopebeat', 'indie pop', 'indie poptimism', 'la indie', 'la pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock']",Smallpools,energetic
7/11,02M6vucOvmRfMxTXDUwRXu,"['dance pop', 'pop', 'post-teen pop', 'r&b']",Beyoncé,energetic
Elastic Heart,6kwAbEjseqBob48jCus7Sz,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Sia,energetic
Revolusion,7ppPVLsLNfHDneQnzZmUFJ,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap']",Elliphant,energetic
Alive,2SHnUyZq0zwmvRIl4WY77G,"['dance pop', 'edm', 'electra', 'electro house', 'electropop', 'pop dance']",Krewella,energetic
What Do You Mean?,6nRwc5GgNvBMkKaynhQzrm,"['canadian pop', 'pop', 'post-teen pop']",Justin Bieber,energetic
I Do,5ctXZyWLbYyUSpPOdlKTlj,"['alt z', 'dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house']",Felix Jaehn,energetic
Delilah - Galantis Remix / Edit,7MZQuwt46u1msooeewfQ88,"['baroque pop', 'pop', 'uk alternative pop']",Florence + The Machine,energetic
Black Magic,1QfVbQwEz691rDzdax0FB2,[],Keyes,energetic
Player - Jai Wolf Remix,0wbrvlS9RZ79iFdH88gXtK,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",Tinashe,energetic
Whole Lotta Lovin',7i7AAhZxVZkwFbgLOAyRcU,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Mustard,energetic
Activate Me - Hoodboi Remix,2c5ZXiw3KCKjYIHMZEYYQU,['australian hip hop'],ASTR,energetic
Omen - Dillon Francis Remix,40sglh34jX7N1LlhqRF029,['pop'],Disclosure,energetic
Show Your Colors (PLS&TY Remix),1xQBCYn1klJdVdFjgVjpqL,"['escape room', 'indie soul']",Genevieve,energetic
