name,uri,genres,artist,mood
Twist And Shout - Remastered,4Z1fbYp0HuxLBje4MOZcSD,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",The Beatles,happy
Hooked on a Feeling,6Ac4NVYYl2U73QiTt11ZKd,['classic swedish pop'],Blue Swede,happy
A-Punk,5dKBaysNJtfpyNTRa5lqDb,"['baroque pop', 'modern rock']",Vampire Weekend,happy
Don't Stop Me Now,2RknY4IqSPwagR0v5wchIW,"['electropop', 'pop', 'pop rap']",Queen,happy
Uptown Funk (feat. Bruno Mars),4rmPQGwcLQjCoFq5NrTA0D,"['dance pop', 'pop']",Mark Ronson,happy
Video Killed The Radio Star,6VwkgtOIlVboseFPCFnyJ2,"['early synthpop', 'new romantic', 'new wave', 'new wave pop', 'synthpop', 'zolo']",The Buggles,happy
Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,"['pop', 'post-teen pop']",Harry Styles,happy
Hey Ya!,3AszgPDZd9q0DpDFt4HFBy,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop']",Outkast,happy
Come,1YrC8s6yZWw23QxW6rfM9f,['french indie pop'],Jain,happy
Wake Me Up Before You Go-Go,6ZEAXknmx2mrO3KgcDNpFI,[],Wham!,happy
My Girl,4S46FETQcxhXROubIV11M3,[],High Tropics,happy
Treasure,55h7vJchibLdUkxdlX3fK7,"['dance pop', 'pop']",Bruno Mars,happy
Celebration - Single Version,6pc8xULSlsMdFB3OrqbvZ4,"['disco', 'funk', 'motown', 'quiet storm', 'soul']",Kool & The Gang,happy
Lush Life,1rIKgCH4H52lrvDcz50hS8,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",Zara Larsson,happy
Mr. Brightside,0eGsygTp906u18L0Oimnem,"['dance rock', 'modern rock', 'permanent wave', 'rock']",The Killers,happy
On Top Of The World,213x4gsFDm04hSqIUkg88w,"['modern rock', 'rock']",Imagine Dragons,happy
Preach,6wAFJrqup7D88zL1bB4QS4,[],Camo Columbo,happy
Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,['new wave pop'],Katrina & The Waves,happy
Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,"['bedroom soul', 'pop']",Surfaces,happy
Country House,4vnYwFOZCVl0bmerWyuzRw,"['alternative metal', 'alternative rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']",Blur,happy
Posh Kid,68LD8P1989xcYJKZA3aqRV,[],Gasch,happy
Don't Start Now,3PfIrDoz19wz7qK7tYeu62,"['dance pop', 'pop', 'uk pop']",Dua Lipa,happy
I Got You (I Feel Good),4ZrbWwFHHjPoe7cfUBJ9WQ,"['bass house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive house', 'tropical house']",James Brown,happy
All About That Bass,0ifSeVGUr7py5GggttDhXw,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",Meghan Trainor,happy
Homesick,1hmV2cFt3tJfvOc9zwzytY,['instrumental lullaby'],Arya,happy
Don't Worry Be Happy,5YbgcwHjQhdT1BYQ4rxWlD,['a cappella'],Bobby McFerrin,happy
Cassy O',24fXShNbufmThxBTWWPfO1,"['folk-pop', 'modern rock', 'neo mellow', 'neo-singer-songwriter', 'pop', 'pop rock']",George Ezra,happy
Gimme Hope Jo'Anna,6W99yGcIH43jskdRA7idD3,"['guyanese pop', 'uk reggae']",Eddy Grant,happy
No Ordinary Love,4e8yoTt9IuRbDkbsLntXZZ,[],3409,happy
Little Talks,3O0FuEfTpt3Zn6J3pXrXVO,"['folk-pop', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",Of Monsters and Men,happy
Treat People With Kindness,03mMSLEJCPoGJwQhHpN5y0,"['pop', 'post-teen pop']",Harry Styles,happy
Shiny Happy People,4er8NyQ8cFnZ2b643Tjc44,"['dance pop', 'pop', 'post-teen pop']",R.E.M.,happy
Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,"['australian pop', 'pop']",Tones And I,happy
The Wire,7KdF7Zac5eC9jutk9Qret4,"['pop', 'post-teen pop']",HAIM,happy
Everybody Needs Somebody To Love,5olYKlNYCELRBQzxQ6Tr1V,"['blues', 'blues rock']",The Blues Brothers,happy
Love Natural,04MNyOQZDvLsW2gjAm9q2L,"['alternative dance', 'new rave']",Crystal Fighters,happy
Waterfalls,6eAg68QCEmM9wqTPlNhDco,[],High Tropics,happy
"Hey, Soul Sister",0KpfYajJVVGgQ32Dby7e9i,"['pop', 'post-teen pop', 'talent show', 'uk pop']",Train,happy
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Calvin Harris,happy
It's Tricky,6jBCehpNMkwFVF3dz4nLIW,"['east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap']",Run–D.M.C.,happy
Hot Pink Tiger,1iRlSxYYKp4T7TAgqt5jT4,[],Limón Limón,happy
Best Fake Smile,0Me1AKVY2wzxOKLMiaAtNy,"['modern rock', 'neo mellow', 'pop', 'pop rock']",James Bay,happy
Riptide,3JvrhDOgAt6p7K8mDyZwRd,"['folk-pop', 'modern rock', 'pop', 'pop rock']",Vance Joy,happy
Should I Stay or Should I Go - Remastered,3v8PlUFGQQDBIk1J86waCo,"['classic rock', 'permanent wave', 'punk', 'rock']",The Clash,happy
Drinking Wine,2zJGwCm2cqkb7q0qrOIMpY,['bedroom pop'],Oscar Lang,happy
Don't Slack (from Trolls World Tour),1bxa0TPdBMHPeZFHe0adCw,"['dance pop', 'pop']",Anderson .Paak,happy
My Girls,4L8gG0XMQzKJfmygtHV5qZ,[],The Vanjas,happy
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,"['canadian contemporary r&b', 'canadian pop', 'pop']",Daft Punk,happy
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']",Portugal. The Man,happy
I'm Alive,3cQzrjkL2UaGLX1abHxaIz,[],TTRRUUCES,happy
Accidentally In Love,1hy6Dic0L5SU1XqjhYY1TR,"['alternative rock', 'neo mellow', 'pop rock', 'rock']",Counting Crows,happy
I'm Good,2kiJ5lZQZusgWwpqA7z2i1,"['indie pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'pop rock', 'shimmer pop', 'stomp and holler']",The Mowgli's,happy
Walk Of Life,7w4Tbkbx081vRJa8ol56Qf,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",Dire Straits,happy
Delilah,7MDSd5MwBcZuvZBHmWIkiy,[],3409,happy
Jailhouse Rock,6pyex9B1kBoRIuabBAc4m8,"['adult standards', 'rock-and-roll', 'rockabilly']",Elvis Presley,happy
Homerun (Radio Edit),6fWMEDCURTkeP9bPYvzcJe,['dutch indie'],The Brahms,happy
Grace Kelly,4Sqc0kPuZpfI0T2TZBu8JT,"['deathcore', 'djent', 'melodic metalcore', 'metalcore', 'technical deathcore']",MIKA,happy
Shine On,5zsvG3RApT8qMVl7673FqF,"['brighton indie', 'modern rock', 'rock']",The Kooks,happy
Toucan,58E5eiErWFE5oU9eSCa5ZA,[],Camo Columbo,happy
ABC,6nzhhT57iQYrbqumru9NNP,"['adult standards', 'motown', 'soul']",The Jackson 5,happy
Jungle Drum,7BXToqZFtclAj6mshYWena,"['electronica', 'icelandic indie', 'icelandic pop', 'icelandic singer-songwriter', 'trip hop']",Emilíana Torrini,happy
Adventure of a Lifetime,4MFCXniy7I8tj0GXtf3wgC,"['permanent wave', 'pop']",Coldplay,happy
Norgaard,1Q8reqCOXg2yqNr47HGo9X,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']",The Vaccines,happy
Sunny,3pf96IFggfQuT6Gafqx2rt,"['deep groove house', 'house', 'pop dance', 'uk dance']",Boney M.,happy
Best Day Of My Life,44AXd3UVaaVYsSQqBpnYO2,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']",American Authors,happy
Tainted Love - Single Version,0BbA7S30mOQB94e4IBnqCt,"['motown', 'northern soul']",Gloria Jones,happy
Desire,6TMzuNLw1ZPgBqPKmnnObm,"['dance pop', 'electropop', 'gauze pop', 'pop', 'post-teen pop', 'tropical house']",Years & Years,happy
I'm Gonna Be (500 Miles),66S14BkJDxgkYxLl5DCqOz,"['celtic rock', 'scottish rock']",The Proclaimers,happy
It's Love (but it's not mine),6i9uagZQiliNoEW8Jp10dX,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",EUT,happy
Uptown Girl,3CSpzkoL1XgDBZ1q9aDCUV,"['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",Billy Joel,happy
My Type,6WP4WTHzaPTCk1QrbRLhgL,"['indie pop', 'indie poptimism', 'la indie', 'modern alternative rock', 'modern rock', 'rock']",Saint Motel,happy
"Rudy, A Message To You",0FXJkC3XA6UOyvti331jQw,"['reggae', 'rock steady', 'ska', 'ska revival']",Dandy Livingstone,happy
Get Up,4p0NFm5EputEZSv8aMyoud,"['bachata', 'latin']",Rival,happy
Let's Fall in Love Some More,1SZN00cfG8T8UxDmJeqjuv,"['african rock', 'cape town indie', 'indie surf', 'south african alternative', 'south african pop', 'south african pop dance']",Al Bairre,happy
Friday I'm In Love,20CNpCKq1oTdvekXaboyeq,"['dance pop', 'pop', 'post-teen pop']",The Cure,happy
Don't Stop (Color on the Walls),4HRa9ZWcmZ8JD7UySPu0wT,"['indietronica', 'modern rock', 'pop', 'rock']",Foster The People,happy
One Way Or Another,5Q7cE6wGHMehLFo2ppkk5D,"['indie pop', 'lo-fi indie']",Blondie,happy
All My Friends Are Stoned,7BL33HmuFQien4olebugdj,"['canadian contemporary r&b', 'pop rap']",WizTheMc,happy
Chelsea Dagger,1bCmvezFg5MRcENzCGG1Cy,"['garage rock', 'modern alternative rock', 'modern rock', 'rock', 'scottish rock']",The Fratellis,happy
The Bad Touch,2qONptRzQM0D3BGOgAsapI,"['alternative metal', 'comic', 'funk metal', 'funk rock', 'nu metal', 'punk', 'rap rock']",Bloodhound Gang,happy
Caroline,72NC9kHkFA7k98dE0t4xEX,[],High Tropics,happy
Modern Love - Single Version; 2002 Digital Remaster,2Rkfv2emuT4A1QU6dJmf5V,"['classic rock', 'glam rock', 'rock']",David Bowie,happy
Suddenly I See,5p9XWUdvbUzmPCukOmwoU3,"['lilith', 'neo mellow', 'pop rock', 'scottish singer-songwriter']",KT Tunstall,happy
I Will Survive - Remastered,2DX0WG5OGLQLaXb41Cq1IA,['disco'],Gloria Gaynor,happy
Jerk It Out,5XMjXjwCkJVmk0AHm7z8IV,['swedish indie rock'],Caesars,happy
Start Me Up,52MW2hwNmLa0KdsZZk8360,"['british invasion', 'classic rock', 'rock']",The Rolling Stones,happy
Baby Love,1YyHm1dSJ2JBK0QK769Z82,"['modern alternative rock', 'modern rock', 'pop']",Petite Meller,happy
Surfin' U.S.A. - Remastered 2001,7sVxvaLH9Bx9YZyBjdRpdQ,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",The Beach Boys,happy
Confident,1r7rNbAcw17mhrap3ofjSb,"['indie rock', 'modern rock']",LEFT.,happy
"Sugar, Sugar",4GAI8BxeMgrvhZNEU59UfR,"['brill building pop', 'bubblegum pop', 'classic canadian rock', 'folk rock']",The Archies,happy
High,4gTwPFGhIIlYtlo59jbVUB,"['folk-pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",Young Rising Sons,happy
Can't Buy Me Love - Remastered 2015,7pQAq14Z73YUFMtxCyt0bG,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",The Beatles,happy
I_feel_good,3E7HFO84HdWVJXzqKE82xO,[],FATCAT,happy
Proud Mary,6pxWv6GV35VGmcPf5dh6CH,"['classic rock', 'country rock', 'rock', 'roots rock', 'southern rock', 'swamp rock']",Creedence Clearwater Revival,happy
Smaller,1gStng1TuTLt0SaISWL14r,['swedish pop'],Erik Hassle,happy
Beautiful Day,0gzqZ9d1jIKo9psEIthwXe,"['irish rock', 'permanent wave', 'rock']",U2,happy
Lisztomania,7zkDEBSxkcBVsStS4qBFpK,"['speedrun', 'video game music']",Phoenix,happy
Dancing in the Moonlight,1FHNctV68GUNLgXclG2DtR,['british alternative rock'],Toploader,happy
LA Calling,4fCHoHmwmX8LgAp6A1GULJ,"['alternative dance', 'new rave']",Crystal Fighters,happy
You Can't Hurry Love,4YUlGNZfYA6EUE5KDsGqpC,"['mellow gold', 'rock drums', 'soft rock']",Phil Collins,happy
Side Effects (feat. Emily Warren),5yNEdBlZMxpcVtGKz5NFk5,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",The Chainsmokers,happy
Clouds,6ujXniXS1XhMvBboH604FN,[],Paper Idol,happy
My Generation - Mono Version,45s88Xopo6KvHc0PQ05aGg,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'roots rock']",The Who,happy
Shotgun,4ofwffwvvnbSkrMSCKQDaC,"['folk-pop', 'modern rock', 'neo mellow', 'neo-singer-songwriter', 'pop', 'pop rock']",George Ezra,happy
Born to Be Alive,3XIEWK1V9n25PS9Vb6axj5,"['disco', 'hi-nrg']",Patrick Hernandez,happy
Price Tag,2fTsFCKRFQ5M0igJgabnLA,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",Jessie J,happy
Girls,5WSdMcWTKRdN1QYVJHJWxz,"['modern alternative rock', 'modern rock', 'nu gaze', 'pop', 'rock']",The 1975,happy
If You Wanna Be Happy,3eKkMH08IN5qbjp8wv6cV8,[],Jimmy Soul,happy
San Francisco,3zdI8HDPKoMsCRkmpQTblk,"['indie pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'pop rock', 'shimmer pop', 'stomp and holler']",The Mowgli's,happy
Come On Eileen,4jKojTEsrJtUU5rNp3gbGQ,"['bow pop', 'new romantic', 'new wave', 'new wave pop']",Dexys Midnight Runners,happy
Work This Body,76EeScTnI2sCjDY0SfEoSb,"['dance pop', 'dance rock', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",WALK THE MOON,happy
Got My Mind Set On You,5CPayysVhU2BlNXw2kG59L,[],Damien Leith,happy
Song Away,0mIPUewslxddIZHnWuPnMD,"['canadian indie', 'indie folk', 'indie pop', 'new americana', 'stomp and holler']",Hockey,happy
Hit The Road Jack,7sXxvOVFtMr31xj0kX9BFV,[],Ray Charles,happy
Heavy,2XAZbgSesR2bdSNkBFJmyu,"['adult standards', 'classic uk pop', 'country rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']",Animal House,happy
I'm a Believer,5RKZ9zCtLjBLTea7qkSFqr,"['beatlesque', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'sunshine pop']",The Monkees,happy
Rather Be (feat. Jess Glynne),61dCUoMCg28qEBzrW6htYM,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",Clean Bandit,happy
Walkin' On The Sun,1m2EwoCsZlX5JauNr9O4zk,"['alternative rock', 'pop rock']",Smash Mouth,happy
Moves Like Jagger - Studio Recording From The Voice Performance,7pYfyrMNPn3wtoCyqcTVoI,"['pop', 'pop rock']",Maroon 5,happy
All That She Wants,12BbMJsJi65mxneq6c9Lm7,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']",Ace of Base,happy
Starfish,1zGNGgfanMWYujmiHQFRrO,[],Camo Columbo,happy
Happy Hour,37i2PeqCGD4WqfGZeQgmXy,"['britpop', 'new romantic', 'new wave', 'new wave pop']",The Housemartins,happy
"Happy - From ""Despicable Me 2""",5b88tNINg4Q4nrRbrCXUmg,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",Pharrell Williams,happy
Go Your Own Way,0FeCO85RKW8fDRytwXof2x,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Fleetwood Mac,happy
Everybody Talks,74mS2Q0bTQsq3dHuQ55Zj8,"['modern alternative rock', 'modern rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'rock']",Neon Trees,happy
99 Red Balloons,0XSxZ0cpHcZIpPA7TgSOwZ,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",Nena,happy
On Our Way,2cT0rywZk7Mz7xZEpjdZde,"['indie poptimism', 'shimmer pop', 'swedish alternative rock', 'swedish indie pop']",The Royal Concept,happy
Gotta Go Home,0SDcjtJXrI6jAtD6AkQ6SR,"['deep groove house', 'house', 'pop dance', 'uk dance']",Boney M.,happy
Something That I Want,5faGyT8owqkeioEf5PDeIB,"['contemporary country', 'country', 'country road']",Grace Potter,happy
So Lonely,36sl2chZHvRyHlAooKr5va,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",The Police,happy
Sister Of Pearl,1iF2TYT5ScZ2BStvrrxyrE,['nyc pop'],Baio,happy
I'm Still Standing,1jDJFeK9x3OZboIAHsY9k2,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']",Elton John,happy
Sweet About Me,2Wbf4FpDxo9CGmepoV2RfU,"['australian pop', 'australian r&b']",Gabriella Cilmi,happy
Conga!,0KxTWgl64TNOQXiGFJYc6t,"['new wave pop', 'soft rock']",Miami Sound Machine,happy
Stronger (What Doesn't Kill You),1nInOsHbtotAmEOQhtvnzP,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",Kelly Clarkson,happy
You Make My Dreams (Come True),7HX9f8AMBl0vQxAoAzLqhS,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Daryl Hall & John Oates,happy
