name,uri,genres,artist,mood,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
feather light melodies,7suV4LZglmw8Kf8JAMHxQU,"['chillhop', 'focus beats', 'lo-fi beats']",santpoort,calm,0 days 00:03:08.893000,0.949,0.735,0.456,0.878,0.118,-12.937,0.0524,147.97,0.708,4
Rained In,19HQQW3lGcT8Yq7svGJnbA,['lo-fi beats'],Nathan Kawanishi,calm,0 days 00:02:37.884000,0.339,0.491,0.532,0.971,0.257,-9.54,0.0344,65.091,0.102,4
Tiger Park,2RKFdXgtbivlmgSGnI7oEz,[],Lo'fi Boy,calm,0 days 00:03:05.696000,0.321,0.621,0.347,0.944,0.319,-15.032,0.0793,87.918,0.804,4
Origami,1Iloy9vXDfjeVSwv3qHpbo,['lo-fi beats'],Deauxnuts,calm,0 days 00:02:09.887000,0.0859,0.773,0.291,0.898,0.117,-15.935,0.0781,80.006,0.601,4
Tracy,2wKHx2Bg7AysBPrZ9axL1D,[],Pontiac Puma,calm,0 days 00:02:02.667000,0.714,0.704,0.245,0.717,0.147,-12.954,0.216,90.156,0.19,4
First Sip of Coffee,2qnxhWmaZhgckkAwRDKxUm,['lo-fi beats'],Jobii,calm,0 days 00:02:27.110000,0.402,0.694,0.426,0.919,0.178,-8.516,0.0497,136.011,0.366,4
Favorite Sause,2uUNTBmq2VBW1UMJcAqOEn,[],DJ Garlik,calm,0 days 00:01:48.800000,0.374,0.636,0.438,0.837,0.873,-12.56,0.0707,149.981,0.915,4
Cherry Tomatoes,2wiH4zVyvCfadVrhGiKDxH,['lo-fi beats'],Guustavv,calm,0 days 00:02:27.200000,0.842,0.768,0.574,0.926,0.115,-7.573,0.0578,74.997,0.299,4
august 20,6oXKWqp0sIbhXv8WPpgPqp,"['dance pop', 'pop', 'uk pop']",Moody.,calm,0 days 00:02:21.818000,0.107,0.748,0.355,0.873,0.239,-12.451,0.093,87.993,0.195,4
Unfolding,3uWFLpc5W2stsKLfHNoH12,[],Hakaisu,calm,0 days 00:01:52.014000,0.488,0.766,0.238,0.935,0.124,-11.831,0.0445,105.0,0.394,4
Cordon Bleu,3qrGPKnwYrVgucSF6bxsif,[],G R I Z,calm,0 days 00:02:21.442000,0.382,0.713,0.343,0.383,0.26,-12.351,0.0331,112.861,0.389,4
Careless,3v1O6lndJhBf7BXgnNs42x,"['contemporary country', 'country', 'country road']",Coastal,calm,0 days 00:02:40,0.953,0.618,0.243,0.902,0.0736,-13.537,0.122,90.026,0.321,4
5am in cairo,21NHuCeoEJ76SVggMgNsNw,[],"oh, the joy.",calm,0 days 00:02:57.288000,0.937,0.758,0.191,0.937,0.11,-15.904,0.0439,113.972,0.201,4
Wanderlust,3bAOlIpMvPmdZod2cBOk1Z,['lo-fi jazzhop'],Ghostnaut,calm,0 days 00:02:50.921000,0.281,0.728,0.473,0.865,0.153,-7.572,0.0773,76.01,0.549,4
Sunday Travels,41XpM95vesA6FLXijrpInL,['lo-fi beats'],Guustavv,calm,0 days 00:02:24.100000,0.771,0.575,0.544,0.932,0.117,-8.98,0.0548,74.197,0.223,4
hiro,1cO3FUW4M7E56H9HcFclCB,[],lōland,calm,0 days 00:02:25.868000,0.725,0.761,0.304,0.905,0.105,-12.708,0.075,152.014,0.573,4
Sisu,3uQ33vLHvYhUC5EJvd4RuK,['lo-fi beats'],Jobii,calm,0 days 00:02:33,0.779,0.575,0.244,0.742,0.102,-16.842,0.0401,144.087,0.169,4
Sweet Hangover,5kGxA8CYmy5aUAcv2zHtwj,"['lo-fi beats', 'lo-fi jazzhop']",Peter Kind,calm,0 days 00:01:52.714000,0.418,0.742,0.334,0.0193,0.105,-9.704,0.068,80.008,0.615,4
Flor de Maga,6YUl5cWPcgEdKl4qtCNlsg,[],Flora Vida,calm,0 days 00:02:32.666000,0.0874,0.793,0.469,0.259,0.111,-7.57,0.191,88.001,0.222,4
Chips,2cXdC5qNqc5Gk0X6JtjUqH,['lo-fi jazzhop'],Beat Oven,calm,0 days 00:01:30.667000,0.0911,0.725,0.434,0.789,0.119,-8.768,0.192,179.936,0.957,4
Melloton,6wJxIARTR6bs1j6lNSMhpS,[],Liam Huston,calm,0 days 00:02:36.750000,0.396,0.794,0.295,0.841,0.111,-14.197,0.0501,79.993,0.226,4
aoi,5187ygBWKOWiVHM6bAtuJA,[],lōland,calm,0 days 00:02:28.861000,0.107,0.64,0.519,0.626,0.199,-7.866,0.309,158.944,0.393,4
Nites,2iZuQ9KSfzUGqRvGbU2YQi,[],Yugi Boi,calm,0 days 00:03:15.892000,0.91,0.563,0.132,0.936,0.0941,-16.671,0.0422,73.489,0.228,4
Haru,4HaDm2TFxJAKo0K1OKqR6c,['lo-fi beats'],Nathan Kawanishi,calm,0 days 00:01:59.484000,0.467,0.658,0.7,0.226,0.245,-10.132,0.0881,150.125,0.945,4
Roomies,35LFjNao1Gix6kQuEtsyiE,"['chillhop', 'focus beats', 'lo-fi beats', 'lo-fi jazzhop']",Glimlip,calm,0 days 00:02:20,0.758,0.785,0.449,0.822,0.235,-9.813,0.172,83.961,0.506,4
Nearly Home,2KIjwpSFtH2HYpKlk09oaZ,[],ZENDR,calm,0 days 00:02:04.235000,0.405,0.703,0.378,0.868,0.158,-14.418,0.0538,79.007,0.163,4
Lonely in London,1EmUO9NwH6ibUpe9DIhO7T,['lo-fi beats'],Slumberville,calm,0 days 00:02:15,0.829,0.795,0.0365,0.848,0.089,-19.728,0.0826,130.041,0.202,4
Painting My Thoughts,6DTKZsmOR9drYUqPqxe48U,['lo-fi jazzhop'],Obie Hans,calm,0 days 00:02:29.831000,0.7,0.745,0.383,0.954,0.108,-17.446,0.0614,80.005,0.157,4
Earth,2APhx63Q8xpqlQ1lkomqTO,"['alternative country', 'country rock', 'folk', 'indie folk', 'new americana', 'outlaw country', 'roots americana', 'roots rock', 'texas country']",Beaumont,calm,0 days 00:01:39.455000,0.714,0.78,0.336,0.448,0.128,-13.902,0.173,140.118,0.94,4
Well Known Place,0l1leu6PWbkNW2lnpHH8bH,"['chillhop', 'lo-fi beats']",Flitz&Suppe,calm,0 days 00:02:20,0.46,0.757,0.173,0.939,0.082,-14.229,0.0781,82.009,0.248,4
Isthmus,58c5egFFYyDPggIzBggeOd,['lo-fi beats'],Mila Coolness,calm,0 days 00:03:18.302000,0.665,0.612,0.0997,0.848,0.0811,-19.531,0.0325,77.51,0.215,4
Soul Mates,7pFRhCj70NUNZG4xMDEQj8,"['chillhop', 'focus beats', 'lo-fi beats', 'lo-fi jazzhop']",Jazzinuf,calm,0 days 00:01:36.343000,0.407,0.517,0.509,0.311,0.251,-9.917,0.137,74.98,0.37,4
1am in nyc,5BIwDSCZB1DVt7CJJn6UAa,[],"oh, the joy.",calm,0 days 00:02:24.178000,0.475,0.588,0.354,0.863,0.119,-10.283,0.0469,80.018,0.316,4
You Don't Know,03uSlN1JqW0MI6OCl7UQEa,"['chillhop', 'focus beats', 'lo-fi beats', 'lo-fi jazzhop']",Psalm Trees,calm,0 days 00:02:46.364000,0.673,0.834,0.289,0.849,0.143,-8.706,0.047,88.015,0.821,4
Phew,2h2s62yHkjcB2icZMZG3L4,['lo-fi jazzhop'],Jules Hiero,calm,0 days 00:02:02.727000,0.352,0.76,0.731,0.652,0.144,-7.041,0.0515,87.996,0.471,4
Afterlife,60FEBUWsdIp8oasrEFrp6h,[],XXIII,calm,0 days 00:02:03.486000,0.919,0.586,0.167,0.95,0.136,-14.498,0.0433,139.927,0.241,4
Blue Lounge,0sp7jCGXymKybP3oagChyW,"['chillhop', 'focus beats', 'jazz boom bap', 'lo-fi beats', 'lo-fi jazzhop']",ØDYSSEE,calm,0 days 00:03:18.023000,0.481,0.8,0.307,0.837,0.11,-10.335,0.0567,80.01,0.196,4
Magic Ears,01zns8ZvqSLL3gDvDiagZD,[],Tissi,calm,0 days 00:02:00.007000,0.83,0.641,0.28,0.913,0.114,-13.989,0.102,168.064,0.143,4
Midnight Somewhere,02312lZUztXbBFDXhzJbK1,['lo-fi beats'],Guustavv,calm,0 days 00:02:18.947000,0.902,0.784,0.204,0.828,0.0941,-11.383,0.195,75.988,0.469,4
Second Chance,1zRxxLqv8ZsI7RwaGdI9uV,[],Sless Praismo,calm,0 days 00:02:31.429000,0.0385,0.569,0.406,0.876,0.092,-13.188,0.0379,168.015,0.634,4
Ocean,5tP45ykhM6iRYE2cL2Dp5A,[],Gradient Island,calm,0 days 00:01:48.800000,0.935,0.657,0.203,0.921,0.107,-15.717,0.0428,74.995,0.0626,4
Jasmine,1u24Ut4Enu0OeMmeB2a4wq,"['chillhop', 'lo-fi beats']",C4C,calm,0 days 00:02:31.169000,0.904,0.624,0.172,0.926,0.0878,-20.261,0.0512,153.974,0.336,4
sea foam,2NDAE4SuAs9GJnaLnLfMm7,['lo-fi jazzhop'],sound butler,calm,0 days 00:02:19.091000,0.741,0.73,0.356,0.908,0.383,-10.137,0.0509,88.011,0.266,4
sundown,15LqhqSSDfZmIylBdlxxVK,"['chillhop', 'focus beats', 'lo-fi beats']",mt. fujitive,calm,0 days 00:01:46.899000,0.958,0.653,0.167,0.931,0.0986,-19.743,0.0396,75.962,0.461,3
Intimo - Spaze Windu Remix,1dRiifRAnVYqHjAEWvPNf0,"['alternative pop rock', 'pop']",B dom,calm,0 days 00:02:46.375000,0.656,0.677,0.179,0.688,0.102,-15.219,0.101,80.915,0.127,4
Balmy,1YFZOS75Mucj26ObIOdoNZ,"['abstract beats', 'chillhop', 'jazz boom bap', 'lo-fi beats', 'lo-fi jazzhop']",Handbook,calm,0 days 00:02:21.266000,0.785,0.575,0.281,0.862,0.182,-12.741,0.0452,80.018,0.368,4
espresso time,5H7o4E3gjv9ywJs12d2kmM,[],lokeyz,calm,0 days 00:02:03.726000,0.678,0.646,0.421,0.891,0.164,-10.564,0.0562,101.09,0.412,4
Absence,5DE13s7fSzWzZyaII7Lur8,"['chillhop', 'japanese chillhop', 'korean r&b', 'lo-fi beats']",Jinsang,calm,0 days 00:01:19.915000,0.409,0.744,0.448,0.846,0.113,-9.514,0.0763,90.712,0.499,4
Kaiketsu,4sNjkwZtsYChu1gk9BnlFk,"['focus beats', 'lo-fi beats', 'lo-fi jazzhop']",SamuW,calm,0 days 00:02:07.472000,0.731,0.551,0.186,0.678,0.128,-16.455,0.0434,156.08,0.244,4
Coda,12JdWwiV78PX7kk4szt9Kw,['lo-fi jazzhop'],LESKY,calm,0 days 00:02:30.253000,0.636,0.77,0.521,0.823,0.865,-14.079,0.076,136.021,0.302,4
easy,4YNtYgPcytfX1yUqf9yXOI,"['focus beats', 'lo-fi beats', 'lo-fi cover', 'lo-fi jazzhop']",Billy Hammer,calm,0 days 00:01:21,0.558,0.594,0.386,0.931,0.041,-12.994,0.062,79.923,0.327,4
Out In Space,43zpjvbcrFKFxqm4qpt32E,['lo-fi jazzhop'],DGHTR,calm,0 days 00:02:07.059000,0.91,0.78,0.395,0.949,0.107,-10.114,0.129,170.017,0.406,4
Dunes o Dunes,6GdkMZ4wfNzisiJn8zotE7,[],reeperzehn,calm,0 days 00:02:13.671000,0.825,0.473,0.608,0.758,0.279,-11.232,0.117,78.993,0.326,4
No Sleep,5pJmHZ1Yirt5tzmVaYOhya,['lo-fi jazzhop'],Bobby Dreamz BIG,calm,0 days 00:02:35.855000,0.748,0.83,0.151,0.0794,0.138,-8.538,0.277,87.954,0.442,4
Yuki,316XgMkvkl639PPBdOqghb,['lo-fi beats'],Nathan Kawanishi,calm,0 days 00:02:20.513000,0.894,0.529,0.691,0.58,0.0875,-7.442,0.124,84.645,0.557,4
Chromatic,7mFLyUxT9SHvYpYZOWulxo,"['chillhop', 'lo-fi beats']",Kazam,calm,0 days 00:02:24,0.861,0.712,0.33,0.765,0.11,-11.62,0.0587,79.988,0.244,4
Reassuring Drops,6itjWG7F9xrubgo84dJ0w7,[],Jes Nil,calm,0 days 00:01:28.442000,0.966,0.708,0.0972,0.801,0.104,-11.707,0.142,129.901,0.648,4
Calcium,4HbwPqQQR0XugXx2a5V9Mw,[],Bertholet,calm,0 days 00:02:18,0.782,0.866,0.236,0.935,0.144,-10.443,0.0662,80.031,0.552,4
Carvings,6z4JNDNIHHrLz79QET2jrA,"['lo-fi beats', 'lo-fi jazzhop']",Dusty Decks,calm,0 days 00:02:36.923000,0.976,0.534,0.19,0.899,0.386,-15.723,0.0853,78.094,0.331,4
Cherish,3g61MNGRhAJoFlpiE5qpew,['lo-fi beats'],Shrimpnose,calm,0 days 00:03:13.907000,0.945,0.672,0.152,0.956,0.112,-16.697,0.0364,75.515,0.258,4
Call For Spring,0TvNYHasD0uc3WNNszVmqb,[],Bauke Top,calm,0 days 00:01:53.438000,0.345,0.644,0.526,0.389,0.0723,-9.351,0.0691,160.133,0.299,4
Mixed Emotions,0igMjYaQwW5mUt7RIwXojC,['alternative r&b'],SamTRax,calm,0 days 00:02:46.588000,0.812,0.594,0.567,0.917,0.109,-13.506,0.0366,85.014,0.184,4
Hello,4ZiuK6Y2WGVi0UajR3aIUD,"['lo-fi beats', 'lo-fi jazzhop']",Peter Kind,calm,0 days 00:02:04.152000,0.117,0.778,0.348,0.366,0.396,-11.291,0.0712,83.975,0.345,4
Hello,4ZiuK6Y2WGVi0UajR3aIUD,"['lo-fi beats', 'lo-fi jazzhop']",Peter Kind,calm,0 days 00:04:55.502000,0.329,0.471,0.431,0.0,0.0854,-6.129,0.0342,157.98,0.289,4
Opulence,3rrx5ef9rcoo7LfGOLdgiY,['lo-fi beats'],Nathan Kawanishi,calm,0 days 00:02:08.836000,0.21,0.686,0.714,0.041,0.747,-7.635,0.0804,150.121,0.704,4
