name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,pctCalm,pctEnergetic,pctHappy,pctSad,uri
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross) BY DJ Khaled...",0.01497785301875462,0.4540540540540541,0.7600979192166463,0.0,0.15918995129453986,0.8485324947589097,0.2589043283820476,0.6101435927491943,0.19320843091334897,0.0371035,0.866995,0.05459522,0.041306257,12PNcnMsjsZ3eHm62t8hiy
Adam and Eve BY Nas...,0.049075191145985464,0.5608108108108107,0.7870257037943696,0.0,0.3604204050243527,0.7508516771488469,0.31161156364797954,0.2075815297023485,0.07025761124121777,0.06150011,0.86169577,0.034785092,0.042019002,0BSPhsCKfwENstErymcD80
Memories (feat. Kid Cudi) BY David Guet...,0.0015126621659628209,0.4756756756756757,0.869033047735618,4.8788927335640145e-06,0.2681363752883876,0.6856001048218028,0.51126018207954,0.46978133154714546,0.4519906323185011,0.036165256,0.84406465,0.10984252,0.009927611,4dTaAiV9xFFCxnPur9c9yL
"King's Dead (with Kendrick Lamar, Future & James Blake) BY Jay Rock...",0.0007666471566186299,0.5891891891891892,0.6670746634026927,0.0,0.1168931043322225,0.7573375262054507,0.44098386839163073,0.5196899289711281,0.3091334894613583,0.073246576,0.8413101,0.06029011,0.025153223,51rXHuKN8Loc4sUlKPODgH
Coming Home BY Diddy - Di...,0.17145640155805286,0.24729729729729732,0.8310893512851897,0.0,0.3373493975903614,0.9595780922431865,0.27168183996166745,0.7350650981705531,0.14051522248243561,0.03781279,0.8336895,0.0435295,0.08496829,6Iocm6VMu6bVNYwiDoyQFW
Forever BY Drake...,0.27461713793024817,0.2783783783783783,0.9375764993880048,0.0,0.28095360164060496,0.9999999999999999,0.560773039450567,0.6682365582394887,0.5035128805620609,0.044809416,0.8201805,0.11028622,0.024723906,6HSqyfGnsHYw9MmIpa9zlZ
SICKO MODE BY Travis Sco...,0.005454488197868808,0.8445945945945944,0.6976744186046511,0.0,0.11176621379133553,0.8421121593291403,0.3180003194377895,0.6444090928119899,0.3911007025761124,0.06479275,0.81825805,0.085785076,0.031164138,2xLMifQCjDGFmkHkpNLD9h
Live Your Life BY T.I....,0.0769828850908846,0.22432432432432436,0.8592411260709915,0.0,0.22327608305562674,0.8651074423480083,0.37070755470372146,0.6781303637962073,0.4285714285714285,0.028392032,0.7997228,0.14585173,0.02603355,3jlbL2OTD5YmIunYzgQTAN
Live Like Dis BY Quality Co...,0.0951174566426284,0.4378378378378378,0.6695226438188494,0.0,0.07472442963342732,0.7047955974842767,0.6566043762977161,0.8202509035598164,0.4882903981264637,0.09972047,0.7990071,0.08145086,0.01982165,333jqman7dlfB7QG7w8Y0j
Right Above It BY Lil Wayne...,0.0471205666673544,0.2256756756756757,0.8335373317013463,0.0,0.6936682901820046,0.8005765199161425,0.5320236383964223,0.09350971937315983,0.41100702576112413,0.049035236,0.7958404,0.1372072,0.01791726,1kMuU3TNQvHbqvXCWBodmP
