name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,pctCalm,pctEnergetic,pctHappy,pctSad,uri
Need A Boat BY Morgan Wal...,0.1082568767489817,0.4472972972972973,0.9008567931456547,0.0,0.2950525506280441,0.673611111111111,0.01661076505350583,0.6794769819008946,0.9964871194379391,0.00678824,0.055848803,0.9257053,0.011657663,5UmCoA8uugbNcVAfKMW3P2
Angel Eyes BY Love and T...,0.014434901774690437,0.6040540540540541,0.6560587515299876,0.0,0.04934632145603692,0.6977856394129978,0.005111004631847951,0.3165250275603187,0.9999999999999999,0.013464328,0.05839778,0.9178731,0.010264849,63w0QA1wiV7QhF9jeiHETF
Hotel Key BY Old Domini...,0.16494098662928264,0.7418918918918919,0.865361077111383,0.0,0.3476031786721353,0.7521619496855345,0.0392908481073311,0.274682184172702,0.9976580796252926,0.013007125,0.059247732,0.9166837,0.011061491,33471tzU1VghDg9zNgGRpz
So So Long BY Dierks Ben...,0.06427782597978267,0.5648648648648649,0.94124847001224,1.8512110726643598e-06,0.4219430915149961,0.8665487421383646,0.011020603737422134,0.5325141987971143,0.9988290398126464,0.0049167727,0.0725378,0.91523814,0.007307301,0EaBW4njQejxDNg0rzZo3o
The Devil Went Down to Georgia BY The Charli...,0.16819869409366775,0.4243243243243243,0.5703794369645042,0.0,0.06421430402460906,0.46796383647798734,0.04695735505510302,0.49871617755822556,0.9426229508196721,0.03106399,0.028926002,0.91267216,0.027337829,383Xl5QTigwj3QiA3Qc6S7
All My Friends Say BY Luke Bryan...,0.04755492766260575,0.6405405405405405,0.9057527539779681,0.0,0.17969751345808763,0.7957285115303983,0.01661076505350583,0.37946721368666364,0.9953161592505854,0.0072171288,0.07680947,0.90874255,0.007230825,539dFCMA8lfEElDPgGpcIB
Buy That Man A Beer BY Jon Pardi...,0.07057606041092722,0.44324324324324327,0.7711138310893513,0.00016176470588235295,0.09254037426300948,0.8504323899371068,0.013576106053346103,0.9719094067903042,0.9976580796252926,0.0070824674,0.07490606,0.90370935,0.014302093,4wNVYLmFhhBIhBeA2VgmJ4
Beer Can’t Fix BY Thomas Rhe...,0.03430691730743962,0.6783783783783783,0.7515299877600979,0.0,0.11176621379133553,0.8189203354297694,0.012617792684874618,0.3374638924938251,0.968384074941452,0.010967512,0.079000115,0.9006852,0.009347236,7idmHTAQQPUFqdjXkoooXD
Goin' Goin' Gone BY George Str...,0.0433199079589051,0.5756756756756757,0.8372093023255812,2.1972318339100345e-06,0.22968469623173543,0.7473794549266246,0.0068679124740456746,0.34400859602852313,0.9063231850117096,0.010085341,0.08197127,0.8970486,0.010894765,40tuNJI1oMnRmg8esXBNBC
Dust On The Bottle BY David Lee ...,0.025619697402412656,0.7121621621621621,0.5556915544675642,1.0103806228373702e-05,0.3270956165085875,0.35665618448637304,0.02555502315923973,0.260197317927464,0.8735362997658079,0.04224334,0.041974757,0.8914657,0.024316201,0Xg68XXMRWzKQvD5S6BFvI
Brother Jukebox BY Mark Chesn...,0.20729118366628912,0.5716216216216216,0.5569155446756425,0.0017820069204152252,0.14893617021276592,0.3666142557651991,0.005270723526593198,0.5471804747352116,0.936768149882904,0.04611386,0.02512784,0.8865631,0.042195123,1Ov6koHfZL43pGCDdfIoHf
Altitude Adjustment BY Midland...,0.1475665468192287,0.5540540540540541,0.9216646266829865,0.0,0.17969751345808763,0.8014281970649895,0.029867433317361435,0.4351390575068726,0.9039812646370023,0.0098367175,0.09121428,0.88636273,0.012586189,4XSLXwwLskeFy1k6ec4tBg
Top Of The World BY Tim McGraw...,0.31479552999099786,0.6310810810810811,0.7723378212974297,0.0,0.5770315303768264,0.7159329140461215,0.02459670979076825,0.5481642734541801,0.97423887587822,0.02815871,0.040013015,0.8849317,0.04689662,06s2xqfSDROCIhzxH5Hsu6
What You See Is What You Get BY Luke Combs...,0.06894720667873466,0.5189189189189188,0.7894736842105263,0.0,0.2425019225839528,0.7649371069182389,0.018687110685194054,0.2881972062907299,0.8583138173302107,0.013466442,0.08768236,0.8835519,0.01529923,1xIgz2QjA85ZpXiIoj6mMo
Make Her Fall In Love With Me Song BY George Str...,0.414698558898808,0.6175675675675676,0.835985312117503,0.0,0.3629838502947962,0.7572064989517819,0.015013576106053347,0.4088276747463753,0.9953161592505854,0.029426444,0.045483433,0.8819738,0.043116312,3lEfWXVeo02PI4QaX5ocV9
"Bartenders, etc... BY Dierks Ben...",0.02507674615834847,0.5054054054054054,0.8298653610771113,7.093425605536332e-06,0.15149961548320942,0.6292583857442346,0.022360645264334775,0.131201071712647,0.8454332552693208,0.016913958,0.09997322,0.8687872,0.01432564,2JyMIeTAb4bGOFa49qFG5y
Fine By Me BY Andy Gramm...,0.009407173254656079,0.5054054054054054,0.7723378212974297,0.0,0.010638297872340427,0.8176755765199161,0.014214981632327109,0.19078020122521316,0.8969555035128806,0.012789309,0.11495982,0.86109453,0.011156353,4wTChU0tU44TAMC0xcQizi
Free And Easy (Down The Road I Go) BY Dierks Ben...,0.0055847964964442125,0.47027027027027035,0.813953488372093,0.002837370242214533,0.17969751345808763,0.7803328092243186,0.008624820316243405,0.4002665327025858,0.8536299765807962,0.0109142335,0.1147523,0.8610587,0.0132747255,4Ng7hGdPwpINleVecBWiOO
