name,uri,genres
I Love This Life,5d0iu7Mc64GwJIMBGjDt2U,"['contemporary country', 'country pop', 'country rap', 'country road', 'modern country rock']"
Sunday Morning,0BzIw053LdsgAu8Sb1baIn,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'modern uplift']"
Sun Daze,0El2Zyt68nYySFDG87hZgM,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
"Courtesy Of The Red, White And Blue (The Angry American)",0M7mWKqwTIaVjYyxfZmtTa,"['contemporary country', 'country', 'country road', 'oklahoma country']"
Loving You Easy,4ieqNz8S9pvnA0inetRkE3,"['contemporary country', 'country', 'country road', 'modern country rock']"
"Speakers, Bleachers And Preachers",0Is6MRHWKe7y2xIxDkvO6l,"['contemporary country', 'country pop', 'country road', 'modern country rock']"
Power of Positive Drinkin',3yww2zhTK6xJuVGtn6oHNY,"['contemporary country', 'country', 'country road', 'modern country rock']"
I Don't Want This Night To End,0cV4xwUA4ue2deqq4CZFko,"['contemporary country', 'country', 'country road']"
Broken Halos,06gD2ZtK3Dzc1BYqWExQJJ,"['contemporary country', 'outlaw country']"
Hotel Key,33471tzU1VghDg9zNgGRpz,"['contemporary country', 'country', 'country road']"
Night Shift,0bPnT6i9H1p8Vd85GS6Z7I,"['contemporary country', 'country', 'country road', 'modern country rock']"
Most People Are Good,79LAFAkR1ATb4iIQvZuCL0,"['contemporary country', 'country', 'country road']"
Tequila,7Il2yWQmsqKgSkLQvHTPUI,"['contemporary country', 'country', 'pop']"
Small Town,2HsjJJL4DhPCzMlnaGv7ap,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']"
Born to Love You,77a5Eu7lC3tG0Sukt2O91U,"['contemporary country', 'country pop']"
Simple,4P92FrvmYQSAfOpp4cpFEi,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
