name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
I Love This Life,0.0164,0.586,0.927,7.24e-06,0.153,-3.014,0.0547,111.977,0.549,4
Sunday Morning,0.00733,0.584,0.716,0.0,0.0879,-4.737,0.0342,90.005,0.525,4
Sun Daze,0.0981,0.476,0.952,2.91e-06,0.438,-3.783,0.041,170.062,0.849,4
"Courtesy Of The Red, White And Blue (The Angry American)",0.521,0.424,0.661,1.62e-06,0.0719,-5.547,0.0425,111.762,0.384,4
Loving You Easy,0.0125,0.717,0.591,0.0,0.0691,-3.939,0.0267,99.003,0.388,4
"Speakers, Bleachers And Preachers",0.302,0.603,0.625,0.0,0.141,-6.563,0.0258,96.02,0.651,4
Power of Positive Drinkin',0.253,0.587,0.855,0.0,0.313,-4.893,0.0733,168.016,0.599,4
I Don't Want This Night To End,0.0275,0.616,0.728,0.0,0.228,-4.02,0.0278,111.934,0.375,4
Broken Halos,0.134,0.613,0.564,1.65e-06,0.0585,-7.085,0.0251,78.388,0.538,4
Hotel Key,0.152,0.758,0.867,0.0,0.308,-5.087,0.0475,102.018,0.964,4
Night Shift,0.0963,0.63,0.754,0.0,0.268,-3.564,0.0284,95.999,0.73,4
Most People Are Good,0.176,0.586,0.732,0.0,0.148,-6.171,0.0279,150.109,0.582,4
Tequila,0.0292,0.474,0.594,0.0,0.133,-5.756,0.0289,86.131,0.503,4
Small Town,0.155,0.659,0.919,0.0054,0.312,-2.658,0.0333,123.135,0.631,4
Born to Love You,0.131,0.659,0.902,9.89e-05,0.0574,-6.192,0.0296,124.988,0.81,4
Simple,0.0848,0.375,0.889,0.0,0.136,-3.704,0.0991,199.669,0.881,4
Colorado,0.184,0.488,0.858,0.0,0.382,-2.716,0.0636,149.928,0.77,4
Sixteen,0.0135,0.705,0.531,2.11e-06,0.165,-7.031,0.0281,107.013,0.425,4
Nowhere Fast,0.458,0.789,0.487,4.36e-06,0.0751,-7.314,0.0285,101.975,0.49,4
Shotgun Rider,0.126,0.468,0.904,3.89e-06,0.165,-4.574,0.0494,167.998,0.7,4
Where The Green Grass Grows,0.198,0.479,0.698,0.0,0.126,-7.914,0.0277,159.699,0.673,4
Just To See You Smile,0.127,0.492,0.823,0.0,0.0523,-8.526,0.0297,94.342,0.702,4
Top Of The World,0.29,0.676,0.791,0.0,0.487,-5.64,0.0383,141.214,0.944,4
Whiskey Glasses,0.364,0.615,0.68,1.75e-06,0.115,-4.582,0.0286,149.992,0.702,4
Get Along,0.101,0.632,0.804,0.0,0.17,-6.109,0.0503,92.456,0.35,4
Up All Night,0.152,0.554,0.702,0.0,0.138,-4.972,0.0284,163.003,0.467,4
Burning Man,0.00403,0.609,0.807,5.42e-06,0.0926,-7.221,0.0972,119.073,0.492,4
Midnight Lovers,0.00445,0.6,0.879,0.0,0.0857,-3.254,0.0565,118.037,0.466,4
You're In It,0.0306,0.582,0.885,0.0,0.378,-5.45,0.0385,112.027,0.593,4
The Gator Boys - iHeart Radio Live,0.0636,0.531,0.573,0.0,0.584,-10.843,0.0558,93.965,0.569,4
Texas Lullaby,0.137,0.501,0.649,1.91e-06,0.0582,-8.066,0.0412,161.978,0.401,4
