,name,uri,genres,artist
0,Love Tonight - Edit,6OufwUcCqo81guU2jAlDVP,['aussietronica'],Shouse
1,In Da Club,4RY96Asd9IefaL3X4LOLZ8,['brooklyn drill'],50 Cent
2,Feels Like Summer,7p4vHnYXkxlzvfePJVpcTr,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",Childish Gambino
3,Give Dem Hoes Up,10xvKMI1Ub02Oz1EYtY0ql,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'viral pop']",Max B
4,Liberated,5OQByVDbs9788HBRIBqgNW,"['detroit hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'trap', 'trap queen']",DeJ Loaf
5,Mariposa,4ja2gzrNh9VNigzoXfmbwD,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop']",Peach Tree Rascals
8,Big Iron,0AQquaENerGps8BQmbPw14,"['cowboy western', 'nashville sound']",Marty Robbins
9,What's the use?,3MpjEqpi1yClIYbNpMOrrY,[],Cole Hallman
11,Right Now (Na Na Na),1ARJhjuI6TNYZCxYygFQ4F,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",Akon
12,Diamonds Dancing,2AGottAzfC8bHzF7kEJ3Wa,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Drake
13,Self Control,5GUYJTQap5F3RDQiCOJhrS,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Frank Ocean
14,Foreplay,3zdtYfRqOn1axEmHZTWivp,"['north carolina hip hop', 'underground hip hop']",Jalen Santoy
15,Hell N Back,3NRql0A1Ef4RCvT473iqgD,['uk alternative hip hop'],Bakar
17,Trophies,6HfOzLLjsaXsehIFEsrxTk,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Young Money
18,Above The Clouds Of Pompeii,723paR6LrVISFCXFPf5z57,"['folk-pop', 'indie anthem-folk', 'indie folk', 'stomp and flutter', 'stomp and holler', 'uk americana']",Bear's Den
19,Loft Music - Original,2yBz1hupoOBncorzuKcJ2z,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd
24,Making Luv To The Beat (feat. T.I. & DJ E-Feezy) - MERCE Remix,2haqQhsi8AM7mCpYPIr5mm,['alternative r&b'],WATCH THE DUCK
25,I Know There's Gonna Be (Good Times),06UOL50QYtDR5l06ohu88m,"['electronica', 'future garage', 'new rave']",Jamie xx
26,My Boo,68vgtRHr7iZHpzGpon6Jlo,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",Usher
27,I'm N Luv (Wit a Stripper) (feat. Mike Jones),2QurCbkPO14pjrikPNja0h,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",T-Pain
28,Aston Martin Music,5W7xC99N2Zzfh69r7I7zWK,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Rick Ross
29,French Inhale (feat. Mike Posner),4FfWWltvPJfxsrg1Unk29R,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Snoop Dogg
30,Whatever You Need (feat. Chris Brown & Ty Dolla $ign),6yMxfx9wpiuhhdb8vHDVMu,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Meek Mill
31,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd
32,Together - SMLE Remix,3gSUd6yjk3Xn2XkmjkKF5r,"['latin alternative', 'reggae en espanol', 'rock en espanol']",CID
33,Closer to Love,09b5vch8cDyMN8vYA2lEwk,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock', 'stomp and holler']",Mat Kearney
34,Here We Go,2Ol7OqWCnXswOkzaCTSB76,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock', 'stomp and holler']",Mat Kearney
35,h u n g e r . o n . h i l l s i d e (with Bas),5BwQjRasNcdRPuVWKcHto2,"['conscious hip hop', 'north carolina hip hop', 'rap']",J. Cole
36,Holdin' Out,2z74tRiKWd5Yv6d3qbNUCy,"['folk-pop', 'modern rock', 'stomp and holler']",The Lumineers
37,Wildfire,4OUbPHPcsYYdZifCBgcvAb,['canadian electropop'],Never Come Down
38,Xtasy,4lD0luu4TIFi0cOPYYoOrw,[],DJ PRESS PLAY
39,Tampa,5jc4Qcs98R4ZDku8ictuE3,[],Cico P
40,4 Da Gang (with Roddy Ricch),1mAey8kEPmDM2icL56kS9d,"['atl hip hop', 'atl trap', 'rap', 'trap']",42 Dugg
41,Red Red Wine,4uOKFydzAejjSFqYbv1XPt,"['reggae fusion', 'uk reggae']",UB40
42,Marea (We’ve Lost Dancing),5Z8Dj3LtbyCMiwE86rhg2f,[],Fred again..
43,Whatever Tomorrow,7hI6O280FAYYtNBOH2o8qM,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",Chet Faker
44,durag activity (with Travis Scott),4JJcP0Rv9AgyPD6ZGaC8EE,"['hip hop', 'rap', 'trap', 'underground hip hop']",Baby Keem
45,God Gave Me Style,5NoB3TXQDvVClLnC1lXdPt,['brooklyn drill'],50 Cent
47,Many Men (Wish Death),2I9foKseoFQh07p6sD2voE,['brooklyn drill'],50 Cent
48,Seeing Green (with Drake & Lil Wayne),1TZv3bujNaYz646eezRE91,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",Nicki Minaj
49,Astronaut In The Ocean,3Ofmpyhv5UAQ70mENzB277,['australian hip hop'],Masked Wolf
50,Dancing Is What to Do,34xLCJSfCdBPcPxZTRezwS,[],Ray-X
