name,uri,genres,artist
Love Tonight - Edit,6OufwUcCqo81guU2jAlDVP,['aussietronica'],Shouse
In Da Club,4RY96Asd9IefaL3X4LOLZ8,['brooklyn drill'],50 Cent
Feels Like Summer,7p4vHnYXkxlzvfePJVpcTr,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",Childish Gambino
Give Dem Hoes Up,10xvKMI1Ub02Oz1EYtY0ql,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'viral pop']",Max B
Liberated,5OQByVDbs9788HBRIBqgNW,"['detroit hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'trap', 'trap queen']",DeJ Loaf
Mariposa,4ja2gzrNh9VNigzoXfmbwD,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop']",Peach Tree Rascals
Beers And Sunshine,36ISlLb12gKuCCVTYXC0gb,"['contemporary country', 'country', 'country road']",Darius Rucker
The Reason,22iS24vqgM9Cq8uQM7niiI,"['contemporary country', 'country', 'country road', 'modern country rock']",Brett Eldredge
Big Iron,0AQquaENerGps8BQmbPw14,"['cowboy western', 'nashville sound']",Marty Robbins
What's the use?,3MpjEqpi1yClIYbNpMOrrY,[],Cole Hallman
Buy Myself A Chance,1EHNNWLiWe1PJADKEnMvIr,"['outlaw country', 'red dirt', 'texas country']",Randy Rogers Band
Right Now (Na Na Na),1ARJhjuI6TNYZCxYygFQ4F,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",Akon
Diamonds Dancing,2AGottAzfC8bHzF7kEJ3Wa,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Drake
Self Control,5GUYJTQap5F3RDQiCOJhrS,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Frank Ocean
Foreplay,3zdtYfRqOn1axEmHZTWivp,"['north carolina hip hop', 'underground hip hop']",Jalen Santoy
Hell N Back,3NRql0A1Ef4RCvT473iqgD,['uk alternative hip hop'],Bakar
Must Be Doin' Somethin' Right,6TefPQD0oc88BNALpu4U87,"['contemporary country', 'country', 'country road']",Billy Currington
Trophies,6HfOzLLjsaXsehIFEsrxTk,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Young Money
Above The Clouds Of Pompeii,723paR6LrVISFCXFPf5z57,"['folk-pop', 'indie anthem-folk', 'indie folk', 'stomp and flutter', 'stomp and holler', 'uk americana']",Bear's Den
Loft Music - Original,2yBz1hupoOBncorzuKcJ2z,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd
Crazy Girl,1nVLAEzhBXMJLR5zAl90Nl,"['contemporary country', 'country', 'country road', 'heartland rock', 'modern country rock', 'pop rock', 'texas country']",Eli Young Band
Would You Go With Me,1KhrAWvLIjRlQIJtSTgvsi,"['contemporary country', 'country', 'country road', 'modern country rock']",Josh Turner
Over My Head,32e5GVh5rjRNkWyQuAJ3Xj,"['contemporary country', 'country', 'country road', 'modern country rock']",Jon Pardi
Born Again,217WnNJ3NuFB9dC8wncMPb,"['kentucky indie', 'kentucky roots', 'outlaw country']",Tyler Childers
Making Luv To The Beat (feat. T.I. & DJ E-Feezy) - MERCE Remix,2haqQhsi8AM7mCpYPIr5mm,['alternative r&b'],WATCH THE DUCK
I Know There's Gonna Be (Good Times),06UOL50QYtDR5l06ohu88m,"['electronica', 'future garage', 'new rave']",Jamie xx
My Boo,68vgtRHr7iZHpzGpon6Jlo,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",Usher
I'm N Luv (Wit a Stripper) (feat. Mike Jones),2QurCbkPO14pjrikPNja0h,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",T-Pain
Aston Martin Music,5W7xC99N2Zzfh69r7I7zWK,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Rick Ross
French Inhale (feat. Mike Posner),4FfWWltvPJfxsrg1Unk29R,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Snoop Dogg
Whatever You Need (feat. Chris Brown & Ty Dolla $ign),6yMxfx9wpiuhhdb8vHDVMu,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Meek Mill
Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd
Together - SMLE Remix,3gSUd6yjk3Xn2XkmjkKF5r,"['latin alternative', 'reggae en espanol', 'rock en espanol']",CID
Closer to Love,09b5vch8cDyMN8vYA2lEwk,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock', 'stomp and holler']",Mat Kearney
Here We Go,2Ol7OqWCnXswOkzaCTSB76,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock', 'stomp and holler']",Mat Kearney
h u n g e r . o n . h i l l s i d e (with Bas),5BwQjRasNcdRPuVWKcHto2,"['conscious hip hop', 'north carolina hip hop', 'rap']",J. Cole
Holdin' Out,2z74tRiKWd5Yv6d3qbNUCy,"['folk-pop', 'modern rock', 'stomp and holler']",The Lumineers
Wildfire,4OUbPHPcsYYdZifCBgcvAb,['canadian electropop'],Never Come Down
Xtasy,4lD0luu4TIFi0cOPYYoOrw,[],DJ PRESS PLAY
Tampa,5jc4Qcs98R4ZDku8ictuE3,[],Cico P
4 Da Gang (with Roddy Ricch),1mAey8kEPmDM2icL56kS9d,"['atl hip hop', 'atl trap', 'rap', 'trap']",42 Dugg
Red Red Wine,4uOKFydzAejjSFqYbv1XPt,"['reggae fusion', 'uk reggae']",UB40
Marea (We’ve Lost Dancing),5Z8Dj3LtbyCMiwE86rhg2f,[],Fred again..
Whatever Tomorrow,7hI6O280FAYYtNBOH2o8qM,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",Chet Faker
durag activity (with Travis Scott),4JJcP0Rv9AgyPD6ZGaC8EE,"['hip hop', 'rap', 'trap', 'underground hip hop']",Baby Keem
God Gave Me Style,5NoB3TXQDvVClLnC1lXdPt,['brooklyn drill'],50 Cent
